title,company,lang,link
Java Back-End Engineer,올마이투어,java,https://www.wanted.co.kr//wd/206694
JAVA 개발자(5년 이상),플랫브레드,java,https://www.wanted.co.kr//wd/200084
앱 백엔드(JAVA) 개발자,피에트(FIET),java,https://www.wanted.co.kr//wd/205560
CRM 시스템 운영 담당자 (Java),이랜드이노플,java,https://www.wanted.co.kr//wd/194099
JAVA 개발자,비엔에스비즈,java,https://www.wanted.co.kr//wd/196874
[100억↑투자] JAVA 웹 개발자 (7년 이상),콜게이트,java,https://www.wanted.co.kr//wd/198498
웹개발자(JAVA/JSP) (5년 이상),브로드씨엔에스,java,https://www.wanted.co.kr//wd/206396
[시크] Java / Kotlin 백엔드 개발자,팹(PAP),java,https://www.wanted.co.kr//wd/205880
Java Back-End Engineer,올마이투어,java,https://www.wanted.co.kr//wd/206694
JAVA 개발자(5년 이상),플랫브레드,java,https://www.wanted.co.kr//wd/200084
앱 백엔드(JAVA) 개발자,피에트(FIET),java,https://www.wanted.co.kr//wd/205560
CRM 시스템 운영 담당자 (Java),이랜드이노플,java,https://www.wanted.co.kr//wd/194099
JAVA 개발자,비엔에스비즈,java,https://www.wanted.co.kr//wd/196874
[100억↑투자] JAVA 웹 개발자 (7년 이상),콜게이트,java,https://www.wanted.co.kr//wd/198498
웹개발자(JAVA/JSP) (5년 이상),브로드씨엔에스,java,https://www.wanted.co.kr//wd/206396
[시크] Java / Kotlin 백엔드 개발자,팹(PAP),java,https://www.wanted.co.kr//wd/205880
[Platform]Java Backend Server Engineer,앤서스랩코리아,java,https://www.wanted.co.kr//wd/140952
JAVA기반 인사관리 솔루션 개발(9년 이상),웅진,java,https://www.wanted.co.kr//wd/195606
Java 개발자 (10년 이상),한국해양기상기술,java,https://www.wanted.co.kr//wd/151849
백엔드 개발자(Java) 5년 이상,스펙터,java,https://www.wanted.co.kr//wd/203932
"데이터 모니터링 솔루션 개발 (Java, JSP)",위즈코어,java,https://www.wanted.co.kr//wd/135815
풀스택(Java) 개발자(경기/대구)(병특가능),베스텔라랩,java,https://www.wanted.co.kr//wd/73957
백엔드 개발자(JAVA),이파피루스,java,https://www.wanted.co.kr//wd/195030
JAVA 웹개발자 (7-10년),앵커스,java,https://www.wanted.co.kr//wd/202240
Backend 개발 (Java),투스카이,java,https://www.wanted.co.kr//wd/197740
Backend Developer (Java),스위치원,java,https://www.wanted.co.kr//wd/188250
"개발자 (JAVA,Python,AI,IoT)",펀진,java,https://www.wanted.co.kr//wd/161900
Java Software Engineer 팀장급,파킹허브,java,https://www.wanted.co.kr//wd/197460
JAVA 백엔드 개발자 (차장급),아파트아이,java,https://www.wanted.co.kr//wd/184569
JAVA 웹개발자 (9-12년),앵커스,java,https://www.wanted.co.kr//wd/202233
[차량솔루션1팀] Java 개발자 (중급),슈어소프트테크,java,https://www.wanted.co.kr//wd/198889
Java 서버 개발(시니어),그립컴퍼니,java,https://www.wanted.co.kr//wd/162889
JAVA 개발자,플립커뮤니케이션즈,java,https://www.wanted.co.kr//wd/198681
시니어 백엔드 개발자 (Java/Kotlin),패스트파이브,java,https://www.wanted.co.kr//wd/171819
Java Software Engineer 팀원 (만 4년 이상),파킹허브,java,https://www.wanted.co.kr//wd/196743
Java Senior 개발자 (E-Biz개발팀),델레오코리아(deleo),java,https://www.wanted.co.kr//wd/175145
Java 개발자(3년 이상 / 부산),아이투맥스,java,https://www.wanted.co.kr//wd/200673
Java개발,시루정보,java,https://www.wanted.co.kr//wd/183793
Java 개발자,넥서스커뮤니티,java,https://www.wanted.co.kr//wd/193106
Web(JAVA) 프로그래머,에스넷시스템,java,https://www.wanted.co.kr//wd/191510
[SGA홀딩스] 경영정보화팀(JAVA전산시스템) 백엔드 개발자,에스지에이솔루션즈,java,https://www.wanted.co.kr//wd/184656
[마리끌레르] 리뷰 커뮤니티 사이트 운영 및 유지보수 개발 (Java) (5~8년),더북컴퍼니,java,https://www.wanted.co.kr//wd/194848
데이터 수집/분석 솔루션 개발자 - Java 고급,두플,java,https://www.wanted.co.kr//wd/139028
시스템 운영 및 유지보수 Java 개발자,에쓰오씨소프트,java,https://www.wanted.co.kr//wd/185071
"[기업부설연구소] 자사 웹/앱 플랫폼 개발팀장 [JAVA, SPRINGBOOT5+]",아인잡(AINJOB),java,https://www.wanted.co.kr//wd/140981
"백엔드 개발자(C#, Java, Python, Hack)",애딥랩,java,https://www.wanted.co.kr//wd/178948
웹프로그래머 JAVA/JSP,비욘드테크,java,https://www.wanted.co.kr//wd/179381
Java 기반 백엔드 개발자,에이엔드,java,https://www.wanted.co.kr//wd/135767
[인텔리전스랩스] 빌링 서비스 백엔드 개발자 (Java/C#),넥슨코리아(NEXON),java,https://www.wanted.co.kr//wd/207248
JAVA Backend Lead/Senior,그레이비랩,java,https://www.wanted.co.kr//wd/206843
Java 웹개발(팀장),위버로프트,java,https://www.wanted.co.kr//wd/173091
back-end 개발자 (java),올트,java,https://www.wanted.co.kr//wd/171790
JAVA 개발자,알앤씨소프트,java,https://www.wanted.co.kr//wd/144807
ERP 통합정보관리(JAVA) 운영/개발 (IT서비스팀),무신사,java,https://www.wanted.co.kr//wd/136755
JAVA 웹 개발 백엔드,이에스이,java,https://www.wanted.co.kr//wd/140476
Backend 서버 Java 개발자,큐비트시큐리티,java,https://www.wanted.co.kr//wd/143204
JAVA 개발 _ 대리급 이상,비즈니스온커뮤니케이션,java,https://www.wanted.co.kr//wd/47030
java(프런트/백엔트),토마토체인,java,https://www.wanted.co.kr//wd/108372
JAVA 서버 개발자,비즈톡,java,https://www.wanted.co.kr//wd/206356
Java 백엔드 개발자 (5년 이상),라텔앤드파트너즈,java,https://www.wanted.co.kr//wd/198255
백엔드 개발자(java),카레딧,java,https://www.wanted.co.kr//wd/206060
Java Backend Engineer(3~5년),지엑스씨(GXC),java,https://www.wanted.co.kr//wd/204901
백엔드 개발자(Java) (플랫폼사업부/개발실),테크랩스,java,https://www.wanted.co.kr//wd/206931
기업교육 플랫폼 Java 백엔드 개발,휴넷,java,https://www.wanted.co.kr//wd/203367
"[200억↑투자] 웹 프론트엔드 개발자(JavaScript, React) (서울)",페이타랩(패스오더),java,https://www.wanted.co.kr//wd/45651
JAVA 개발자 (5년 이상),오토위니,java,https://www.wanted.co.kr//wd/201010
Java 백엔드 개발자,쇼퍼하우스,java,https://www.wanted.co.kr//wd/203826
주니어 백엔드 엔지니어 (JAVA),스탠바이랩,java,https://www.wanted.co.kr//wd/206156
Java Backend(API),트래포트,java,https://www.wanted.co.kr//wd/169069
"Software Engineer, Java",야놀자Tech(R&D),java,https://www.wanted.co.kr//wd/202371
차세대 기업교육 플랫폼 백엔드(Java) 개발,휴넷,java,https://www.wanted.co.kr//wd/203329
[100억↑투자] JAVA 개발자 (2년 이상),콜게이트,java,https://www.wanted.co.kr//wd/197745
"백엔드 개발자 (Java, Spring)",미스터블루,java,https://www.wanted.co.kr//wd/204317
[Casino Platform]Java Backend,앤서스랩코리아,java,https://www.wanted.co.kr//wd/143142
JavaScript 웹개발자 (3년 이상),앵커스,java,https://www.wanted.co.kr//wd/203499
[판교] 백엔드 JAVA 개발자,와따,java,https://www.wanted.co.kr//wd/37397
Java/Kotlin 백엔드 서버 엔지니어,티비유,java,https://www.wanted.co.kr//wd/118264
SuperStar시리즈 서버 프로그래머 (Java),달콤소프트,java,https://www.wanted.co.kr//wd/198685
Backend engineer (JAVA),부릉,java,https://www.wanted.co.kr//wd/204856
웹개발자(Java),디오티스,java,https://www.wanted.co.kr//wd/206569
JAVA 개발자 / 2년 이상,리드코프,java,https://www.wanted.co.kr//wd/194030
"Back-End (Python, Java)",미니레코드,java,https://www.wanted.co.kr//wd/204028
백엔드 개발자 Java (5년 이상),차란차,java,https://www.wanted.co.kr//wd/59166
웹 개발자 -  백엔드 Java/Kotlin (3년이상),고요에이아이,java,https://www.wanted.co.kr//wd/196645
"백엔드(Java, Spring) 개발자",카카오헬스케어,java,https://www.wanted.co.kr//wd/205752
JAVA 개발자,처음소프트,java,https://www.wanted.co.kr//wd/91854
"데이터 엔지니어, 소프트웨어 개발자(JAVA)",디딤365,java,https://www.wanted.co.kr//wd/203599
Java 서버 개발(미드-레벨),그립컴퍼니,java,https://www.wanted.co.kr//wd/53925
JAVA 웹 서비스 개발,메디플러스솔루션,java,https://www.wanted.co.kr//wd/191919
[100억↑투자] SW Developer(Python or Javascript),수퍼톤,java,https://www.wanted.co.kr//wd/166771
백엔드 개발자(java),와그(WAUG),java,https://www.wanted.co.kr//wd/196704
Back-end (Java) 개발자,미트박스글로벌,java,https://www.wanted.co.kr//wd/191793
시스템 백엔드 개발 (Java),지엘엔인터내셔널,java,https://www.wanted.co.kr//wd/190691
[CARENATION] Java 백엔드 개발자,에이치엠씨네트웍스,java,https://www.wanted.co.kr//wd/167952
JAVA 개발자,코보시스,java,https://www.wanted.co.kr//wd/46154
백엔드 개발 (Java),위즈코어,java,https://www.wanted.co.kr//wd/135807
"백엔드(JAVA, 결제, 인증) 개발자 (3년 이상)",넥스원소프트,java,https://www.wanted.co.kr//wd/191730
JAVA 개발자 (10년 이상),오토위니,java,https://www.wanted.co.kr//wd/149957
Java Developer,에이아이에이생명(AIA생명),java,https://www.wanted.co.kr//wd/204873
자동화 노코드 툴 JAVA 백엔드 개발자 (5년 이상),바티에이아이,java,https://www.wanted.co.kr//wd/195416
Java(Back-End)개발자,제네시스네스트,java,https://www.wanted.co.kr//wd/152802
Java 백엔드 개발자(Senior),티웨이브,java,https://www.wanted.co.kr//wd/112793
[인텔리전스랩스] 거래플랫폼팀 백엔드 개발자 (Java/.NET),넥슨코리아(NEXON),java,https://www.wanted.co.kr//wd/107134
Java/Kotlin Backend Engineer (상품전시개발실),무신사,java,https://www.wanted.co.kr//wd/189781
Java/Kotlin Backend Engineer (구매개발실),무신사,java,https://www.wanted.co.kr//wd/188378
[인텔리전스랩스] 글로벌 플랫폼 백엔드 개발자 (Java),넥슨코리아(NEXON),java,https://www.wanted.co.kr//wd/106979
JAVA 시스템 담당,동원산업,java,https://www.wanted.co.kr//wd/179027
Backend Developer(Java),클로버추얼패션(CLOVirtualFashion),java,https://www.wanted.co.kr//wd/178529
"Back-end 개발자(Java/Kotlin) 1년 이상, 산업기능요원 편입 가능",테이블매니저,java,https://www.wanted.co.kr//wd/166639
"백엔드 엔지니어(Java, Server-side)",뉴플로이,java,https://www.wanted.co.kr//wd/4445
"백엔드(Python, Java) 엔지니어",액스,java,https://www.wanted.co.kr//wd/162002
Java Backend 서비스 개발자,트럼피아,java,https://www.wanted.co.kr//wd/66882
"백앤드/서버(JAVA, NodeJS) 개발자",일루넥스,java,https://www.wanted.co.kr//wd/142595
JAVA 웹 개발 프론트엔드,이에스이,java,https://www.wanted.co.kr//wd/140474
Backend Engineer (JAVA),멸치,java,https://www.wanted.co.kr//wd/95643
